dataset,combo,max_k,head_sizes,n,lattice,n_per_cell,delta3_raw,delta3_debiased,g2_pvalue,source
1StudentPerfromance,math score|reading score|writing score,2,2x2x2,1000,8,125.0,0.0002160510679143,0.0,0.5109592609268054,exhaustive
1StudentPerfromance,lunch|math score|parental level of education,2,2x2x2,1000,8,125.0,0.0002791424521374,0.0,0.4549521072220722,exhaustive
1StudentPerfromance,parental level of education|reading score|test preparation course,2,2x2x2,1000,8,125.0,0.0025427102378029,0.0020427102378029,0.0241278253618215,exhaustive
1StudentPerfromance,lunch|race/ethnicity|reading score,2,2x2x2,1000,8,125.0,0.001433635765749,0.000933635765749,0.09039800504088,exhaustive
1StudentPerfromance,lunch|parental level of education|reading score,2,2x2x2,1000,8,125.0,0.0005128032943611,1.2803294361199513e-05,0.3111927920558629,exhaustive
1StudentPerfromance,parental level of education|race/ethnicity|reading score,2,2x2x2,1000,8,125.0,0.0002385283219362,0.0,0.4897585695393877,exhaustive
1StudentPerfromance,gender|math score|test preparation course,2,2x2x2,1000,8,125.0,7.666463268102925e-05,0.0,0.6953738813931056,exhaustive
1StudentPerfromance,gender|lunch|math score,2,2x2x2,1000,8,125.0,1.286463632626004e-05,0.0,0.8725632576634601,exhaustive
1StudentPerfromance,gender|math score|race/ethnicity,2,2x2x2,1000,8,125.0,4.045548959279556e-06,0.0,0.9283265264158383,exhaustive
1StudentPerfromance,gender|math score|parental level of education,2,2x2x2,1000,8,125.0,0.000316305116503,0.0,0.4263994767951774,exhaustive
1StudentPerfromance,lunch|math score|test preparation course,2,2x2x2,1000,8,125.0,0.0001566718826277,0.0,0.5756355291946613,exhaustive
1StudentPerfromance,math score|race/ethnicity|test preparation course,2,2x2x2,1000,8,125.0,4.466425746559857e-05,0.0,0.7650325516127457,exhaustive
1StudentPerfromance,math score|parental level of education|test preparation course,2,2x2x2,1000,8,125.0,0.0001468650735244,0.0,0.5878400204923422,exhaustive
1StudentPerfromance,lunch|math score|race/ethnicity,2,2x2x2,1000,8,125.0,0.0004080845016586,0.0,0.3663026455256635,exhaustive
1StudentPerfromance,math score|parental level of education|race/ethnicity,2,2x2x2,1000,8,125.0,2.146521659081291e-05,0.0,0.8358563184947997,exhaustive
1StudentPerfromance,lunch|reading score|test preparation course,2,2x2x2,1000,8,125.0,2.2390885967279095e-05,0.0,0.8324058138128689,exhaustive
Amazon_employee_access,ROLE_FAMILY|ROLE_FAMILY_DESC|ROLE_ROLLUP_1,2,2x2x2,32769,8,4096.125,0.0001807394661178,0.0001654811427023,0.0005780696458003,exhaustive
Amazon_employee_access,RESOURCE|ROLE_DEPTNAME|ROLE_FAMILY,2,2x2x2,32769,8,4096.125,-3.165501785580932e-17,0.0,1.0,exhaustive
Amazon_employee_access,MGR_ID|ROLE_CODE|ROLE_TITLE,2,2x2x2,32769,8,4096.125,0.0,0.0,1.0,exhaustive
Amazon_employee_access,RESOURCE|ROLE_CODE|ROLE_TITLE,2,2x2x2,32769,8,4096.125,0.0,0.0,1.0,exhaustive
Amazon_employee_access,ROLE_CODE|ROLE_DEPTNAME|ROLE_TITLE,2,2x2x2,32769,8,4096.125,0.0,0.0,1.0,exhaustive
Amazon_employee_access,ROLE_CODE|ROLE_TITLE|target,2,2x2x2,32769,8,4096.125,0.0,0.0,1.0,exhaustive
Amazon_employee_access,ROLE_CODE|ROLE_ROLLUP_2|ROLE_TITLE,2,2x2x2,32769,8,4096.125,0.0,0.0,1.0,exhaustive
Amazon_employee_access,MGR_ID|RESOURCE|ROLE_FAMILY_DESC,2,2x2x2,32769,8,4096.125,8.664917761034792e-18,0.0,0.9999993987309128,exhaustive
Amazon_employee_access,MGR_ID|ROLE_DEPTNAME|ROLE_FAMILY_DESC,2,2x2x2,32769,8,4096.125,8.49039908170141e-18,0.0,0.999999404816743,exhaustive
Amazon_employee_access,RESOURCE|ROLE_DEPTNAME|ROLE_FAMILY_DESC,2,2x2x2,32769,8,4096.125,-1.2562163909632627e-16,0.0,1.0,exhaustive
Amazon_employee_access,MGR_ID|ROLE_FAMILY_DESC|target,2,2x2x2,32769,8,4096.125,2.766867099619185e-17,0.0,0.9999989255633772,exhaustive
Amazon_employee_access,RESOURCE|ROLE_FAMILY_DESC|target,2,2x2x2,32769,8,4096.125,5.6405287671785494e-05,4.114696425636238e-05,0.0545205324099992,exhaustive
Amazon_employee_access,ROLE_DEPTNAME|ROLE_FAMILY_DESC|target,2,2x2x2,32769,8,4096.125,-5.715527398955792e-17,0.0,1.0,exhaustive
Amazon_employee_access,MGR_ID|ROLE_FAMILY_DESC|ROLE_ROLLUP_2,2,2x2x2,32769,8,4096.125,1.4623030897077944e-16,0.0,0.9999975299522308,exhaustive
